"Reference","Value","Datasheet","Footprint","Qty","DNP"
"J1","Vo","","","1",""
"J2","V_Rs_test","","","1",""
"J3","V_current_test","","","1",""
"J4","V_voltage_test","","","1",""
"J5","V_ref_test","","","1",""
"J6","V_ref_c_test","","","1",""
"Q1,Q2,Q3,Q6,Q7,Q14,Q16,Q18,Q19","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline","9",""
"Q4,Q5,Q13,Q15,Q17","2N3906","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","Package_TO_SOT_THT:TO-92_Inline","5",""
"Q8","IRF4905","http://www.infineon.com/dgdl/irf4905.pdf?fileId=5546d462533600a4015355e32165197c","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"Q9,Q11","BC547","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
"Q10,Q12","BC557","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
"R1,R3,R13","2.2k","","","3",""
"R2,R9,R10,R25,R26,R28","10k","","","6",""
"R4,R5,R7,R8,R17,R18,R19,R20,R27","1k","","","9",""
"R6","3k","","","1",""
"R11,R12","4.7k","","","2",""
"R21","1.4k","","","1",""
"R22","1.1k","","","1",""
"R23","800","","","1",""
"R24","1.7k","","","1",""
"Rs1","0.2","","","1",""
"U1","TL431LP","http://www.ti.com/lit/ds/symlink/tl431.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"U2,U4,U5,U6","LM358","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","","4",""
