"#","Reference","Qty","Value","Footprint","DNP"
"1","BC546","1","BC546","Package_TO_SOT_THT:TO-92_HandSolder",""
"2","C1, C2","2","100u","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"3","C3","1","10u","Capacitor_THT:C_Disc_D6.0mm_W4.4mm_P5.00mm",""
"4","C4, C6","2","1n","Capacitor_THT:C_Disc_D6.0mm_W4.4mm_P5.00mm",""
"5","C5","1","10n","Capacitor_THT:C_Disc_D6.0mm_W4.4mm_P5.00mm",""
"6","D1","1","LED","LED_THT:LED_D4.0mm",""
"7","D2","1","MBR735","Package_TO_SOT_THT:TO-220-2_Vertical",""
"8","GND1","1","GND","Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical",""
"9","J1","1","VE","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",""
"10","J2","1","Vo","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",""
"11","L1","1","50u","Inductor_THT:L_Axial_L20.0mm_D8.0mm_P25.40mm_Horizontal",""
"12","LM319, U1","2","LM319","Package_DIP:DIP-8_W7.62mm_Socket",""
"13","Q3, Q4","2","IRF540N","Package_TO_SOT_THT:TO-220-3_Vertical",""
"14","R1, R2, R10","3","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"15","R3, R4, R5, R14","4","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"16","R6","1","33k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"17","R7, R11, R12","3","100k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"18","R8","1","5k6","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"19","R9","1","22k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"20","R13","1","100","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"21","R15","1","30k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"22","TL082, U3","2","TL082","Package_DIP:DIP-8_W7.62mm_Socket",""
"23","TL431","1","TL431LP","Package_TO_SOT_THT:TO-92_HandSolder",""
"24","U2","1","IR2111","Package_DIP:DIP-8_W7.62mm_Socket",""
"25","Vctrl_H1","1","Vctrl_H","Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical",""
"26","Vctrl_L1","1","Vctrl_L","Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical",""
"27","VEE1","1","VEE","Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical",""
"28","Vo1","1","Vo","Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical",""
